AlexNet,0.014351764,69.67784355,0.000981092,1019.271932,1.261687756,0.79258913
shufflenet_v2_x0_5,0.014491518,69.00588548,0.009973288,100.2678396,0.062576771,15.98037079
mobilenet_v3_small,0.021592863,46.31159829,0.004030228,248.1249408,0.046493053,21.50858948
squeezenet1_1,0.025005656,39.99095235,0.002949238,339.0706548,0.05254674,19.03067646
mnasnet0_5,0.030541432,32.7424072,0.008973598,111.4380148,0.059257269,16.8755668
shufflenet_v2_x1_0,0.031438711,31.80792017,0.004526854,220.9039869,0.488131046,2.048630194
shufflenet_v2_x1_5,0.034241652,29.20419803,0.011965752,83.57184984,0.062995911,15.87404626
shufflenet_v2_x2_0,0.044866304,22.28844148,0.009936094,100.6431674,0.06382823,15.66704891
SqueezeNet,0.044877226,22.28301705,0.002986193,334.8745709,0.071799517,13.92767036
squeezenet1_0,0.044976678,22.23374528,0.001994848,501.2912633,0.091140747,10.97204085
mnasnet0_75,0.048553228,20.5959528,0.001049042,953.2509091,0.068867207,14.52069932
regnet_x_400mf,0.054178045,18.45766129,0.015622377,64.01074399,0.112341166,8.901456516
mobilenet_v3_large,0.055098208,18.14941072,0.011519194,86.811632,0.075843573,13.1850329
mnasnet1_0,0.055993538,17.85920371,0.006977558,143.3166131,0.078105927,12.80312576
resnet18,0.058360384,17.13491126,0.015618563,64.02637805,0.101659536,9.836755466
regnet_y_400mf,0.068299859,14.64131875,0.023644924,42.29237502,0.108709574,9.198821829
regnet_x_800mf,0.071324439,14.02043974,0.013063192,76.5509664,0.111191273,8.99351159
mnasnet1_3,0.073219218,13.65761645,0.014959574,66.84682445,0.108298302,9.23375514
MobileNetV2,0.075742821,13.20257132,0.000505924,1976.580584,0.115794182,8.636012486
mobilenet_v2,0.075781345,13.19585968,0.009969473,100.3062059,0.103484154,9.66331524
GoogLeNet,0.075836632,13.18623956,0.011928082,83.83577853,0.111019373,9.007436932
regnet_y_800mf,0.080397615,12.43817985,0.007046223,141.9200108,0.110884428,9.018398866
googlenet,0.081304823,12.29939341,0.00403142,248.0515702,0.127826929,7.823077712
efficientnet_b0,0.104722266,9.549067608,0.016958952,58.96590797,0.376032591,2.659343962
resnet34,0.113764065,8.790121878,0.002036333,491.0787964,0.160975695,6.212117936
regnet_x_1_6gf,0.119403863,8.374938426,0.013023853,76.78219163,0.166560173,6.003836222
vgg13,0.1308798,7.640598454,0.00098896,1011.16297,0.608645439,1.642992678
vgg11_bn,0.144156767,6.936892545,0.001992464,501.8911092,1.089132547,0.918161892
efficientnet_b1,0.147851148,6.763559268,0.016178608,61.81001503,0.176818371,5.655520947
regnet_y_1_6gf,0.148948684,6.713721631,0.022716045,44.02174689,0.171780586,5.821379598
vgg11,0.150305571,6.653113363,0.000995159,1004.864399,0.510086775,1.960450749
efficientnet_b2,0.155564299,6.428210128,0.020943642,47.7471882,0.186419487,5.364246067
resnet50,0.16532706,6.048616595,0.018949509,52.77181681,0.2202847,4.539579908
densenet121,0.170580168,5.86234621,0.025929928,38.56547564,0.202458143,4.939292557
DenseNet,0.170915923,5.850829939,0.052858591,18.91840058,0.196443558,5.090520715
regnet_x_3_2gf,0.173455784,5.765157985,0.011016607,90.77204753,0.220595598,4.533182022
regnet_y_3_2gf,0.202196522,4.945683493,0.028954744,34.53665445,0.258455276,3.86914136
efficientnet_b3,0.203876066,4.904940627,0.024896383,40.16647673,0.442963839,2.257520621
densenet169,0.233165092,4.288806654,0.03593421,27.82863474,0.285177946,3.506582517
resnext50_32x4d,0.239431703,4.17655635,0.020942688,47.74936248,0.318493843,3.13977812
regnet_x_8gf,0.295747051,3.381267863,0.015615463,64.03908636,0.370178223,2.701401484
resnet101,0.332323091,3.00911982,0.015622139,64.0117209,1.111621618,0.899586679
wide_resnet50_2,0.401588275,2.49011254,0.006020546,166.0978932,0.809456587,1.235396705
